"","X","nome","sigla","ano","v2x_polyarchy","v2x_polyarchy_sd","c3","c5","c4","c1","c2"
"144",144,"Romania","ROU",2021,0.782,0.055,0.915,0.849,1,0.861,1
"145",145,"Russia","RUS",2021,0.257,0.028,0.275,0.322,1,0.321,1
"146",146,"Rwanda","RWA",2021,0.236,0.027,0.243,0.25,1,0.355,0.916
"147",147,"Sao Tome and Principe","STP",2021,0.688,0.063,0.799,0.812,1,0.827,1
"148",148,"Saudi Arabia","SAU",2021,0.016,0.006,0.097,0.027,0,0,0
"149",149,"Saxe-Weimar-Eisenach","SAX",1867,0.072,0.018,0.161,0.24,0.15,0.068,0
"150",150,"Saxony","SXN",1867,0.146,0.025,0.278,0.305,0.15,0.495,0
"151",151,"Senegal","SEN",2021,0.708,0.067,0.928,0.781,1,0.776,1
"152",152,"Serbia","SRB",2021,0.336,0.041,0.397,0.614,1,0.353,1
"153",153,"Seychelles","SYC",2021,0.667,0.062,0.733,0.799,1,0.866,1
"154",154,"Sierra Leone","SLE",2021,0.553,0.067,0.856,0.802,1,0.507,0.975
"155",155,"Singapore","SGP",2021,0.404,0.047,0.321,0.586,1,0.775,1
"156",156,"Slovakia","SVK",2021,0.846,0.048,0.948,0.874,1,0.935,1
"157",157,"Slovenia","SVN",2021,0.703,0.056,0.727,0.815,1,0.933,1
"158",158,"Solomon Islands","SLB",2021,0.626,0.069,0.823,0.86,1,0.625,1
"159",159,"Somalia","SOM",2021,0.163,0.019,0.547,0.513,0.002,0,0.5
"160",160,"Somaliland","SML",2021,0.413,0.05,0.7,0.652,1,0.476,0.75
"161",161,"South Africa","ZAF",2021,0.715,0.063,0.873,0.887,1,0.739,1
"162",162,"South Korea","KOR",2021,0.861,0.046,0.953,0.87,1,0.959,1
"163",163,"South Sudan","SSD",2021,0.136,0.014,0.108,0.215,1,0,0.5
"164",164,"South Yemen","YMD",1990,0.128,0.017,0.056,0.047,1,0.404,0
"165",165,"Spain","ESP",2021,0.856,0.043,0.893,0.912,1,0.968,1
"166",166,"Sri Lanka","LKA",2021,0.573,0.064,0.643,0.726,1,0.81,1
"167",167,"Sudan","SDN",2021,0.184,0.019,0.489,0.328,1,0,0
"168",168,"Suriname","SUR",2021,0.76,0.057,0.849,0.891,1,0.859,1
"169",169,"Sweden","SWE",2021,0.907,0.036,0.971,0.924,1,0.952,1
"170",170,"Switzerland","CHE",2021,0.885,0.042,0.979,0.91,1,0.935,1
"171",171,"Syria","SYR",2021,0.139,0.006,0.043,0.064,1,0,1
"172",172,"Taiwan","TWN",2021,0.813,0.049,0.86,0.899,1,0.933,1
"173",173,"Tajikistan","TJK",2021,0.184,0.015,0.167,0.176,1,0.1,1
"174",174,"Tanzania","TZA",2021,0.36,0.043,0.607,0.611,1,0.315,0.91
"175",175,"Thailand","THA",2021,0.198,0.021,0.41,0.513,0.994,0.139,0
"176",176,"The Gambia","GMB",2021,0.499,0.06,0.725,0.711,1,0.524,0.955
"177",177,"Timor-Leste","TLS",2021,0.68,0.066,0.807,0.831,1,0.786,1
"178",178,"Togo","TGO",2021,0.368,0.048,0.608,0.587,1,0.312,1
"179",179,"Trinidad and Tobago","TTO",2021,0.775,0.061,0.914,0.883,1,0.827,1
"180",180,"Tunisia","TUN",2021,0.556,0.04,0.86,0.858,1,0.445,1
"181",181,"Turkey","TUR",2021,0.279,0.031,0.19,0.533,1,0.359,1
"182",182,"Turkmenistan","TKM",2021,0.15,0.009,0.041,0.056,1,0.086,1
"183",183,"Tuscany","TSC",1861,0.125,0.022,0.528,0.473,NA,0,0
"184",184,"Two Sicilies","TWS",1860,0.011,0.007,0.046,0.039,0,0,0
"185",185,"Uganda","UGA",2021,0.284,0.031,0.57,0.433,1,0.137,0.986
"186",186,"Ukraine","UKR",2021,0.517,0.062,0.715,0.693,1,0.59,1
"187",187,"United Arab Emirates","ARE",2021,0.1,0.018,0.054,0.038,0.36,0.516,0
"188",188,"United Kingdom","GBR",2021,0.863,0.043,0.942,0.897,1,0.943,1
"189",189,"United States of America","USA",2021,0.821,0.05,0.924,0.942,1,0.842,1
"190",190,"Uruguay","URY",2021,0.841,0.046,0.903,0.897,1,0.946,1
"191",191,"Uzbekistan","UZB",2021,0.216,0.021,0.24,0.137,1,0.288,1
"192",192,"Vanuatu","VUT",2021,0.777,0.059,0.887,0.883,1,0.864,1
"193",193,"Venezuela","VEN",2021,0.219,0.021,0.268,0.31,1,0.12,1
"194",194,"Vietnam","VNM",2021,0.22,0.021,0.182,0.044,1,0.52,1
"195",195,"Würtemberg","WRG",1871,0.199,0.026,0.456,0.616,0.5,0.264,0
"196",196,"Yemen","YEM",2021,0.112,0.013,0.141,0.247,1,0,0
"197",197,"Zambia","ZMB",2021,0.379,0.047,0.692,0.626,1,0.299,0.967
"198",198,"Zanzibar","ZZB",2021,0.263,0.028,0.49,0.475,1,0.091,0.925
"199",199,"Zimbabwe","ZWE",2021,0.281,0.031,0.454,0.502,1,0.174,0.944
